Balls,Runs
21,26
19,28
12,14
5,4
16,15
21,22
24,31
48,68
41,70
39,50
32,40
13,15
61,78
6,2
17,21
20,38
11,9
22,27
22,29
32,36
41,54
50,57
22,23
44,72
58,77
41,66
27,43
1,1
55,90
33,59
36,50
12,7
51,49
47,56
28,41
27,23
37,55
24,24
51,82
47,89
9,16
26,29
15,21
4,2
22,39
54,82
14,22
2,0
11,26
42,65
6,13
20,26
5,1
2,0
8,9
22,20
38,47
29,43
8,4
41,61
50,94
17,19
29,70
17,24
38,72
29,19
23,28
45,59
52,72
15,9
17,30
17,26
32,45
12,11
27,38
9,11
9,9
24,40
61,85
5,0
49,73
46,77
5,1
52,80
